Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,San Francisco 49ers,17,16.3,300.6,60.4,5.0,1.76,0.59,17.1,22.9,34.9,222.9,1.18,1.18,5.9,11.1,22.9,77.7,0.65,3.4,4.53,5.65,48.9,1.53,25.7,15.3,3.31
2,Buffalo Bills,16,17.9,319.1,62.3,5.1,1.69,0.63,19.6,22.6,35.6,214.6,1.31,1.06,5.6,11.3,24.2,104.6,0.63,4.3,6.44,5.56,47.1,1.81,31.0,14.3,0.28
3,Baltimore Ravens,17,18.5,324.3,61.6,5.3,1.47,0.65,19.0,23.2,34.9,232.2,1.18,0.82,6.2,12.1,23.9,92.1,0.65,3.9,5.35,4.65,38.2,1.53,35.8,13.9,-1.90
4,New York Jets,17,18.6,311.1,64.3,4.8,0.94,0.24,18.2,20.4,32.7,189.4,0.88,0.71,5.4,9.76,28.9,121.6,0.82,4.2,6.88,5.29,41.6,1.59,32.3,8.3,1.53
5,Cincinnati Bengals,16,20.1,335.7,62.3,5.4,1.50,0.69,18.4,20.6,34.9,229.1,1.06,0.81,6.2,10.8,25.4,106.6,0.75,4.2,6.38,6.25,52.0,1.25,36.4,13.1,-1.25
6,Dallas Cowboys,17,20.1,330.2,64.8,5.1,1.94,1.00,19.2,20.3,32.4,200.9,1.35,0.94,5.7,10.2,29.2,129.3,0.53,4.4,7.00,5.76,50.1,2.00,33.5,16.2,1.87
7,Washington Commanders,17,20.2,304.6,58.7,5.2,1.06,0.53,16.8,18.1,30.2,191.3,1.53,0.53,5.8,9.12,25.9,113.3,0.59,4.4,6.00,5.00,41.6,1.71,31.5,7.6,0.43
8,Philadelphia Eagles,17,20.2,301.5,63.1,4.8,1.59,0.59,19.1,20.6,32.7,179.8,1.29,1.00,4.9,10.9,26.2,121.6,0.88,4.6,6.76,5.59,46.9,1.41,32.4,15.1,1.22
9,New Orleans Saints,17,20.3,314.8,63.3,5.0,0.82,0.41,18.8,18.9,31.5,184.4,1.00,0.41,5.4,9.35,28.9,130.5,0.82,4.5,7.18,5.41,46.9,2.24,34.8,7.1,-1.80
10,Pittsburgh Steelers,17,20.4,330.4,60.2,5.5,1.35,0.18,18.5,19.5,31.9,222.3,1.71,1.18,6.5,11.5,26.0,108.1,0.41,4.2,5.59,5.65,42.2,1.35,37.3,13.0,-2.77
11,New England Patriots,17,20.4,322.0,64.2,5.0,1.76,0.65,18.5,21.4,35.1,216.5,1.65,1.12,5.7,11.4,25.9,105.5,0.41,4.1,5.29,5.24,41.1,1.76,30.5,14.2,3.26
12,Jacksonville Jaguars,17,20.6,353.3,65.1,5.4,1.59,0.76,20.6,22.6,35.4,238.5,1.47,0.82,6.4,12.4,27.6,114.8,0.82,4.2,6.71,5.29,40.2,1.47,36.1,14.4,-3.07
13,Tampa Bay Buccaneers,17,21.1,324.3,63.1,5.1,1.18,0.59,18.5,21.4,33.5,203.6,1.71,0.59,5.6,10.9,26.9,120.7,0.71,4.5,6.06,5.71,50.8,1.47,33.0,10.2,-2.15
14,Denver Broncos,17,21.1,320.0,63.5,5.0,1.35,0.47,19.1,23.1,35.6,210.2,1.18,0.88,5.6,10.6,25.8,109.8,0.71,4.3,6.41,6.24,54.2,2.06,35.9,10.6,0.43
15,Tennessee Titans,17,21.1,351.6,64.7,5.4,1.18,0.35,19.9,25.8,39.5,274.8,1.71,0.82,6.6,12.6,22.9,76.9,0.53,3.4,5.47,6.76,49.2,1.82,33.9,10.6,-3.07
16,Kansas City Chiefs,17,21.7,328.2,64.3,5.1,1.18,0.53,19.8,24.0,36.4,220.9,1.94,0.65,5.6,12.2,24.6,107.2,0.59,4.4,6.00,5.76,43.2,1.65,35.9,10.3,-3.86
17,Green Bay Packers,17,21.8,336.5,58.3,5.8,1.41,0.41,18.9,18.5,28.1,197.0,1.29,1.00,6.5,9.59,28.2,139.5,1.06,5.0,7.59,5.88,53.9,1.71,38.2,13.9,-3.76
18,New York Giants,17,21.8,358.2,63.4,5.6,1.12,0.76,21.8,20.5,33.4,214.0,1.24,0.35,6.0,11.8,27.6,144.2,0.94,5.2,7.88,6.53,48.2,2.12,39.8,8.8,-7.37
19,Carolina Panthers,17,22.0,350.2,64.9,5.4,1.00,0.41,20.4,22.5,34.1,227.5,1.47,0.59,6.3,11.4,28.7,122.6,1.00,4.3,7.35,6.18,50.9,1.59,34.2,8.3,-3.06
