Tm,G,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Minnesota Vikings,17,22.6,14.8,192.9,1.12,27.7,762.9,35.4,27.7,44.9,35.4
Tennessee Titans,17,22.9,14.6,188.8,1.18,26.5,712.2,33.8,26.5,41.9,33.8
Baltimore Ravens,17,20.6,12.6,183.5,1.18,25.9,675.5,32.1,25.9,39.7,32.1
Arizona Cardinals,17,20.1,12.7,151.5,1.59,25.3,658.7,31.8,25.3,38.7,31.8
Washington Football Team,17,19.9,13.4,172.1,1.12,24.0,642.8,30.7,24.0,37.8,30.7
Atlanta Falcons,17,20.3,13.5,157.8,1.12,24.0,642.5,30.7,24.0,37.8,30.7
Chicago Bears,17,16.5,10.8,151.6,1.35,23.7,607.0,29.1,23.7,35.7,29.1
Houston Texans,17,19.2,12.4,169.2,0.94,23.6,628.6,29.8,23.6,37.0,29.8
Dallas Cowboys,17,20.9,11.8,168.8,0.94,23.5,621.5,29.4,23.5,36.6,29.4
Jacksonville Jaguars,17,18.3,13.2,158.9,1.00,23.5,647.7,30.1,23.5,38.1,30.1
Green Bay Packers,17,20.4,11.8,150.9,1.12,23.1,609.5,29.0,23.1,35.9,29.0
Indianapolis Colts,17,19.8,12.4,147.0,1.24,23.0,621.4,29.0,23.0,36.6,29.0
Los Angeles Rams,17,21.5,14.1,173.5,0.59,23.0,653.0,30.0,23.0,38.4,30.0
Detroit Lions,17,18.9,12.3,161.5,1.00,22.7,620.4,28.9,22.7,36.5,28.9
San Francisco 49ers,17,19.2,12.8,161.5,1.00,22.7,627.3,29.1,22.7,36.9,29.1
Kansas City Chiefs,17,19.8,12.2,158.1,1.12,22.7,623.7,29.2,22.7,36.7,29.2
New York Giants,17,20.3,13.1,149.0,1.06,22.4,608.7,28.9,22.4,35.8,28.9
New York Jets,17,18.6,12.0,156.4,0.76,22.0,583.7,28.0,22.0,34.3,28.0
New Orleans Saints,17,20.4,12.9,165.8,0.82,21.9,603.7,28.4,21.9,35.5,28.4
Cincinnati Bengals,17,19.4,12.7,155.6,0.88,21.9,595.7,28.3,21.9,35.0,28.3
Pittsburgh Steelers,17,19.4,11.6,148.0,1.06,21.5,576.1,27.2,21.5,33.9,27.2
Tampa Bay Buccaneers,17,22.6,13.8,158.9,0.82,21.3,617.7,28.2,21.3,36.3,28.2
Miami Dolphins,17,20.5,12.4,158.8,0.82,21.3,591.8,27.5,21.3,34.8,27.5
Denver Broncos,17,19.9,11.6,149.0,0.94,20.7,570.2,27.2,20.7,33.5,27.2
Carolina Panthers,17,16.9,11.6,137.1,1.00,20.4,561.4,26.2,20.4,33.0,26.2
Cleveland Browns,17,19.9,11.9,142.6,0.94,20.4,562.0,26.3,20.4,33.1,26.3
Seattle Seahawks,17,21.7,13.2,158.2,0.59,20.3,591.2,26.9,20.3,34.8,26.9
Las Vegas Raiders,17,18.8,12.3,137.3,0.71,18.6,538.3,24.8,18.6,31.7,24.8
New England Patriots,17,18.4,10.5,127.7,0.82,18.4,501.4,23.6,18.4,29.5,23.6
Los Angeles Chargers,17,17.9,11.6,138.8,0.65,17.8,516.9,23.6,17.8,30.4,23.6
Philadelphia Eagles,17,16.9,10.9,130.7,0.71,17.7,495.7,23.2,17.7,29.2,23.2
Buffalo Bills,17,18.8,10.9,113.2,0.35,13.7,425.9,19.1,13.7,25.1,19.1
