team, Date, OPPONENT, PassYdLine, PASS_YD, RecYdLine, REC_YD, RecYdLine, REC_YD, result, OverUnder, Spread, ReceptionsPG, PlaysPG, TargetsPG, ExpectedPointsPG, PointsPG, NetYdsPerPassAtt, RushYdsPG, RushYdsPerAtt, RushFirstDownsPG, RecTDPG, YardsPerPlay, TurnoversPG, FumblesPG, FirstDownsPG, PassCompsPG, PassAttPG, PassTDPG, PassIntPG, PassFirstDownsPG, PenaltiesPG, PenaltyFirstDownsPG, ScoresPerOffDrivePG, YardsPG, FeelsLike, WindSpeed, passYPG, recYPG1, recYPG2, medianPassYPG, medianRecYPG1, medianRecYPG2
Jimmy Garoppolo Deebo Samuel Brandon Aiyuk, 09/25, den, 236.5, 211, 56.5, 73, 50.5, 39, 0, 44, -1.5, 11.70, 63.50, 18.80, 0.43, 21.10, 5.60, 109.80, 4.30, 6.41, 0.53, 5.00, 1.35, 0.47, 19.10, 23.10, 35.60, 1.18, 0.88, 10.60, 6.24, 2.06, 35.90, 320.00, 66.30, 8.30, 254.00, 87.80, 48.60, 254.00, 87.80, 48.60
Jimmy Garoppolo Deebo Samuel Brandon Aiyuk, 10/03, lar, 224.5, 239, 56.5, 115, 52.5, 37, 0, 42, -2.0, 13.60, 61.70, 19.50, -4.45, 22.60, 6.50, 115.10, 4.30, 6.24, 0.76, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 69.10, 14.90, 254.00, 87.80, 48.60, 211.00, 73.00, 39.00
Jimmy Garoppolo Deebo Samuel Brandon Aiyuk, 10/09, car, 220.5, 253, 55.5, 20, 45.5, 58, 0, 40, -6.5, 14.40, 64.90, 21.20, -3.06, 22.00, 6.30, 122.60, 4.30, 7.35, 0.88, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 66.70, 4.70, 254.00, 87.80, 48.60, 239.00, 115.00, 39.00
Jimmy Garoppolo Deebo Samuel Brandon Aiyuk, 10/16, atl, 229.5, 296, 60.5, 79, 47.5, 83, 2, 46, -3.5, 12.50, 63.60, 19.30, -7.26, 22.70, 6.80, 130.20, 4.40, 8.00, 0.94, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 70.00, 0.00, 254.00, 87.80, 48.60, 239.00, 73.00, 39.00
Jimmy Garoppolo Deebo Samuel Brandon Aiyuk, 10/23, kan, 251.5, 303, 61.5, 42, 55.5, 82, 0, 49, 1.0, 13.10, 64.30, 20.20, -3.86, 21.70, 5.60, 107.20, 4.40, 6.00, 1.18, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 68.00, 10.00, 254.00, 87.80, 48.60, 253.00, 79.00, 58.00
Jimmy Garoppolo Deebo Samuel Brandon Aiyuk, 11/13, lac, 243.5, 240, 50.5, 24, 54.5, 84, 0, 46, -8.0, 10.70, 58.90, 17.40, -4.97, 22.60, 6.20, 145.80, 5.40, 7.00, 0.82, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 58.90, 6.40, 254.00, 87.80, 48.60, 253.00, 73.00, 58.00
Jimmy Garoppolo Deebo Samuel Brandon Aiyuk, 11/21, ari, 251.5, 228, 52.5, 57, 54.5, 20, 0, 43, -9.5, 12.40, 63.20, 19.20, -4.81, 26.40, 6.20, 118.60, 4.50, 7.29, 0.65, 5.50, 1.18, 0.53, 21.40, 24.40, 34.90, 1.71, 0.65, 12.80, 5.53, 1.24, 41.60, 348.90, 70.00, 0.00, 254.00, 87.80, 48.60, 253.00, 73.00, 82.00
Jimmy Garoppolo Deebo Samuel Brandon Aiyuk, 11/27, nor, 244.5, 222, 49.5, 43, 53.5, 65, 0, 44, -8.5, 11.40, 63.30, 18.10, -1.80, 20.30, 5.40, 130.50, 4.50, 7.18, 0.71, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, 66.00, 3.50, 254.00, 87.80, 48.60, 240.00, 57.00, 58.00
Jimmy Garoppolo Deebo Samuel Brandon Aiyuk, 12/04, mia, 248.5, 56, 40.5, 58, 57.5, 46, 0, 46, -5.0, 13.20, 63.90, 21.10, -3.91, 23.50, 6.00, 103.00, 4.10, 5.76, 0.65, 5.30, 0.82, 0.35, 19.80, 24.50, 36.70, 1.59, 0.47, 11.80, 4.94, 2.24, 37.50, 337.80, 57.60, 6.60, 254.00, 87.80, 48.60, 240.00, 57.00, 65.00
Mitchell Trubisky Diontae Johnson George Pickens, 09/11, cin, 226.5, 194, 50.5, 55, 43.5, 3, 0, 44, 7.0, 10.60, 62.30, 17.90, -1.25, 20.10, 6.20, 106.60, 4.20, 6.38, 0.69, 5.40, 1.50, 0.69, 18.40, 20.60, 34.90, 1.06, 0.81, 10.80, 6.25, 1.25, 36.40, 335.70, 73.80, 5.10, 7.20, 72.60, 0.00, 7.20, 72.60, 0.00
