Team, Date, Match, OPPONENT, OPPONENT_1, PassYdLine, PASS_YD, RecYdLine, REC_YD, RecYdLine_2, REC_YD_3, result, OverUnder, Spread
Jared Goff Amon-Ra St. Brown Sam LaPorta, 11/19, x, chi, chi, 274.5, 236, 87.5, 77, 43.5, 18, 1, 48, -8.0
Jared Goff Amon-Ra St. Brown Sam LaPorta, 12/10, x, chi, chi, 241.5, 161, 74.5, 21, 47.5, 23, 1, 44, -3.0
Kirk Cousins Justin Jefferson Jordan Addison, 10/01, x, car, car, 277.5, 139, 99.5, 85, 39.5, 0, 1, 46, -4.5
Ryan Tannehill DeAndre Hopkins Chigoziem Okonkwo, 10/15, x, bal, bal, 207.5, 76, 58.5, 20, 29.5, 18, 1, 42, 5.5
Kyler Murray Marquise Brown Trey McBride, 11/19, x, hou, hou, 235.5, 214, 59.5, 18, 57.5, 43, 1, 48, 5.5
Joshua Dobbs Marquise Brown Trey McBride, 11/19, x, den, hou, 221.5, 221, 59.5, 18, 57.5, 43, 1, 43, 2.5
Joe Burrow Ja'Marr Chase Tee Higgins, 09/10, 1, cle, cle, 268.5, 82, 79.5, 39, 60.5, 0, 1, 46, -1.0
Joe Burrow Ja'Marr Chase Tee Higgins, 10/01, x, ten, ten, 265.5, 165, 83.5, 73, 57.5, 19, 1, 42, -2.5
Joe Burrow Ja'Marr Chase Tee Higgins, 10/15, x, sea, sea, 280.5, 185, 86.5, 80, 56.5, 20, 1, 46, -3.0
Geno Smith Tyler Lockett DK Metcalf, 09/10, x, lar, lar, 253.5, 112, 53.5, 10, 63.5, 47, 1, 45, -4.5
Geno Smith Tyler Lockett DK Metcalf, 11/05, x, bal, bal, 226.5, 157, 48.5, 32, 56.5, 50, 1, 44, 6.0
Geno Smith Tyler Lockett DK Metcalf, 11/23, x, sfo, sfo, 237.5, 180, 49.5, 30, 62.5, 32, 1, 43, 7.0
Deshaun Watson Amari Cooper David Njoku, 09/10, 1, cin, cin, 238.5, 154, 55.5, 37, 37.5, 24, 1, 46, 1.0
Jordan Love Romeo Doubs Jayden Reed, 09/17, x, atl, atl, 211.5, 151, 37.5, 30, 39.5, 37, 1, 40, 3.0
Jordan Love Romeo Doubs Jayden Reed, 10/09, x, lvr, lvr, 234.5, 182, 47.5, 4, 33.5, 7, 1, 44, 1.5
Jordan Love Romeo Doubs Jayden Reed, 10/22, x, den, den, 235.5, 180, 40.5, 30, 29.5, 21, 1, 44, 1.0
Jordan Love Romeo Doubs Jayden Reed, 12/11, x, nyg, nyg, 231.5, 218, 46.5, 32, 47.5, 27, 1, 37, -5.5
Brock Purdy Deebo Samuel Brandon Aiyuk, 12/17, x, ari, ari, 254.5, 242, 60.5, 48, 67.5, 37, 1, 48, -12.0
Jake Browning Ja'Marr Chase Tee Higgins, 12/31, x, kan, kan, 238.5, 197, 59.5, 41, 44.5, 19, 1, 46, 7.0
Will Levis DeAndre Hopkins Chigoziem Okonkwo, 11/12, x, tam, tam, 225.5, 199, 65.5, 27, 30.5, 27, 1, 39, 2.5
