season,Week,date,teams,over/under,awaySpread
2022,1,09/08/22,billsrams,52,-2.5
2022,1,09/11/22,saintsfalcons,44,-5.5
2022,1,09/11/22,49ersbears,38,-6.5
2022,1,09/11/22,steelersbengals23,44,7
2022,1,09/11/22,eagleslions38,48,-6
2022,1,09/11/22,patriotsdolphins7,46,3
2022,1,09/11/22,ravens6jets624,44,-6.5
2022,1,09/11/22,jaguarscommanders22,43,3
2022,1,09/11/22,browns1panthers126,42,1.5
2022,1,09/11/22,coltstexans20,46,-7
2022,1,09/11/22,giantstitans21,44,5.5
2022,1,09/11/22,packersvikings7,46,2
2022,1,09/11/22,chiefs6cardinals644,54,-6.5
2022,1,09/11/22,raiders3chargers319,52,3.5
2022,1,09/11/22,buccaneers2cowboys219,50,-2.5
2022,1,09/12/22,broncosseahawks16,44,-6
2022,2,09/15/22,chargerschiefs24,52,4
2022,2,09/18/22,jets6browns631,38,6.5
2022,2,09/18/22,commanderslions,48,0
2022,2,09/18/22,buccaneerssaints20,44,-3
2022,2,09/18/22,panthersgiants16,44,-1
2022,2,09/18/22,ppatriotssteelers17,40,-3
2022,2,09/18/22,coltsjaguars0,44,-3
2022,2,09/18/22,dolphins3ravens342,44,3.5
2022,2,09/18/22,falcons10rams1027,46,10
2022,2,09/18/22,seahawks849ers87,40,8.5
2022,2,09/18/22,bengalscowboys17,42,-7
2022,2,09/18/22,texans10broncos109,46,10
2022,2,09/18/22,cardinals5raiders529,52,5.5
2022,2,09/18/22,bears10packers1010,42,10
2022,2,09/19/22,titans10bills107,48,10
2022,2,09/19/22,vikingseagles7,50,3
2022,3,09/22/22,steelers4browns417,38,4.5
2022,3,09/25/22,ptexansbears20,40,3
2022,3,09/25/22,raiderstitans22,46,-2
2022,3,09/25/22,chiefs4colts417,51,-4.5
2022,3,09/25/22,billsdolphins19,54,-4
2022,3,09/25/22,lions6vikings,52,6.5
2022,3,09/25/22,ravens2patriots2,45,-2.5
2022,3,09/25/22,bengals6jets627,46,-6.5
2022,3,09/25/22,eagles5commanders524,48,-5.5
2022,3,09/25/22,saintspanthers14,41,-2
2022,3,09/25/22,jaguars6chargers638,46,6.5
2022,3,09/25/22,rams3cardinals320,48,-3.5
2022,3,09/25/22,falconsseahawks27,44,1
2022,3,09/25/22,packers1buccaneers114,42,1.5
2022,3,09/25/22,49ers1broncos110,44,-1.5
2022,3,09/26/22,cowboysgiants23,38,1
2022,4,09/29/22,dolphinsbengals15,49,4
2022,4,10/02/22,vikingssaints28,42,-4
2022,4,10/02/22,brownsfalcons20,48,-1
2022,4,10/02/22,commanderscowboys10,41,3
2022,4,10/02/22,seahawks3lions348,48,3.5
2022,4,10/02/22,titanscolts24,43,4
2022,4,10/02/22,bearsgiants12,40,3
2022,4,10/02/22,jaguars6eagles621,44,6.5
2022,4,10/02/22,jetssteelers24,41,3
2022,4,10/02/22,billsravens23,50,-3
2022,4,10/02/22,chargers5texans534,46,-5.5
2022,4,10/02/22,cardinals(pkpanthers(pk26,44,0
2022,4,10/02/22,patriots9packers924,40,9.5
2022,4,10/02/22,broncos2raiders223,45,2.5
2022,4,10/02/22,chiefsbuccaneers41,47,2
2022,4,10/03/22,rams49ers9,42,2
2022,5,10/06/22,coltsbroncos12,42,3
2022,5,10/09/22,steelers1bills13,44,14
2022,5,10/09/22,chargers1browns130,47,-1.5
2022,5,10/09/22,texansjaguars13,44,7
2022,5,10/09/22,bears8vikings822,44,8.5
2022,5,10/09/22,lionspatriots0,47,3
2022,5,10/09/22,seahawks5saints532,45,5.5
2022,5,10/09/22,dolphinsjets17,46,-3
2022,5,10/09/22,falcons10buccaneers1015,46,10
2022,5,10/09/22,titanscommanders,43,0
2022,5,10/09/22,giants9packers927,42,9.5
2022,5,10/09/22,49ers6panthers637,40,-6.5
2022,5,10/09/22,eagles5cardinals520,48,-5.5
2022,5,10/09/22,cowboysrams22,42,5
2022,5,10/09/22,bengalsravens17,48,3
2022,5,10/10/22,raiderschiefs29,52,7
2022,6,10/13/22,commandersbears12,38,-1
2022,6,10/16/22,49ers3falcons314,46,-3.5
2022,6,10/16/22,patriots2browns238,44,2.5
2022,6,10/16/22,jets7packers727,44,7.5
