Season,Week,Date,teams,Ovr/Und,awaySpread
2023,1,09/07/23,Lions (+4½)at Chiefs (-4½),53,4.5
2023,1,09/10/23,Panthers (+3½)at Falcons (-3½),40,3.5
2023,1,09/10/23,Bengals (-1)at Browns (+1),46,-1
2023,1,09/10/23,Jaguars (-3½)at Colts (+3½),45,-3.5
2023,1,09/10/23,Buccaneers (+4)at Vikings (-4),45,4
2023,1,09/10/23,Titans (+3)at Saints (-3),42,3
2023,1,09/10/23,49ers (-1)at Steelers (+1),42,-1
2023,1,09/10/23,Cardinals (+7)at Commanders (-7),38,7
2023,1,09/10/23,Texans (+9½)at Ravens (-9½),44,9.5
2023,1,09/10/23,Packers (+1)at Bears (-1),41,1
2023,1,09/10/23,Raiders (+3)at Broncos (-3),43,3
2023,1,09/10/23,Eagles (-3½)at Patriots (+3½),44,-3.5
2023,1,09/10/23,Dolphins (+3)at Chargers (-3),50,3
2023,1,09/10/23,Rams (+4½)at Seahawks (-4½),45,4.5
2023,1,09/10/23,Cowboys (-3½)at Giants (+3½),44,-3.5
2023,1,09/11/23,Bills (-2½)at Jets (+2½),44,-2.5
2023,2,09/14/23,Vikings (+6)at Eagles (-6),49,6
2023,2,09/17/23,Packers (+3)at Falcons (-3),40,3
2023,2,09/17/23,Raiders (+7½)at Bills (-7½),48,7.5
2023,2,09/17/23,Ravens (+3½)at Bengals (-3½),46,3.5
2023,2,09/17/23,Seahawks (+5)at Lions (-5),48,5
2023,2,09/17/23,Chargers (-2½)at Titans (+2½),46,-2.5
2023,2,09/17/23,Bears (+2)at Buccaneers (-2),41,2
2023,2,09/17/23,Chiefs (-3)at Jaguars (+3),50,-3
2023,2,09/17/23,Colts (-1)at Texans (+1),40,-1
2023,2,09/17/23,49ers (-7)at Rams (+7),45,-7
2023,2,09/17/23,Giants (-5)at Cardinals (+5),40,-5
2023,2,09/17/23,Jets (+8½)at Cowboys (-8½),38,8.5
2023,2,09/17/23,Commanders (+3½)at Broncos (-3½),38,3.5
2023,2,09/17/23,Dolphins (-1½)at Patriots (+1½),46,-1.5
2023,2,09/18/23,Saints (-3)at Panthers (+3),40,-3
2023,2,09/18/23,Browns (-2½)at Steelers (+2½),39,-2.5
2023,3,09/21/23,Giants (+10½)at 49ers (-10½),44,10.5
2023,3,09/24/23,Titans (+3½)at Browns (-3½),38,-3.5
2023,3,09/24/23,Falcons (+3)at Lions (-3),48,3
2023,3,09/24/23,Saints (-2)at Packers (+2),42,-2
2023,3,09/24/23,Broncos (+6)at Dolphins (-6),48,6
2023,3,09/24/23,Chargers (pk)at Vikings (pk),54,0
2023,3,09/24/23,Patriots (-2½)at Jets (+2½),35,-2.5
2023,3,09/24/23,Bills (-5)at Commanders (+5),44,-5
2023,3,09/24/23,Texans (+7½)at Jaguars (-7½),44,7.5
2023,3,09/24/23,Colts (+7½)at Ravens (-7½),44,7.5
2023,3,09/24/23,Panthers (+4½)at Seahawks (-4½),43,4.5
2023,3,09/24/23,Bears (+11½)at Chiefs (-11½),48,11.5
2023,3,09/24/23,Cowboys (-11)at Cardinals (+11),44,-11
2023,3,09/24/23,Steelers (+3)at Raiders (-3),44,3
2023,3,09/25/23,Eagles (-5½)at Buccaneers (+5½),44,-5.5
2023,3,09/25/23,Rams (+3)at Bengals (-3),45,3
2023,4,09/28/23,Lions (-2½)at Packers (+2½),44,-2.5
2023,4,10/01/23,Falcons (+3)at Jaguars (-3),42,3
2023,4,10/01/23,Dolphins (+3)at Bills (-3),52,3
2023,4,10/01/23,Broncos (-3)at Bears (+3),47,-3
2023,4,10/01/23,Ravens (-1½)at Browns (+1½),38,-1.5
2023,4,10/01/23,Bengals (-2½)at Titans (+2½),42,-2.5
2023,4,10/01/23,Rams (-1½)at Colts (+1½),44,-1.5
2023,4,10/01/23,Buccaneers (+4½)at Saints (-4½),41,4.5
2023,4,10/01/23,Commanders (+8½)at Eagles (-8½),43,8.5
2023,4,10/01/23,Vikings (-4½)at Panthers (+4½),46,-4.5
2023,4,10/01/23,Steelers (-3)at Texans (+3),42,-3
2023,4,10/01/23,Raiders (+6½)at Chargers (-6½),49,6.5
2023,4,10/01/23,Patriots (+6)at Cowboys (-6),43,6
2023,4,10/01/23,Cardinals (+15)at 49ers (-15),44,15
2023,4,10/01/23,Chiefs (-8)at Jets (+8),41,-8
2023,4,10/02/23,Seahawks (-2½)at Giants (+2½),46,-2.5
2023,5,10/05/23,Bears (+6)at Commanders (-6),45,6
2023,5,10/08/23,Jaguars (+4½)at Bills (-4½),48,4.5
2023,5,10/08/23,Texans (+2)at Falcons (-2),42,2
2023,5,10/08/23,Panthers (+9½)at Lions (-9½),44,9.5
2023,5,10/08/23,Titans (-2½)at Colts (+2½),44,-2.5
2023,5,10/08/23,Giants (+12½)at Dolphins (-12½),48,12
2023,5,10/08/23,Saints (+2)at Patriots (-2),39,2
2023,5,10/08/23,Ravens (-4½)at Steelers (+4½),38,-4.5
2023,5,10/08/23,Eagles (-3½)at Rams (+3½),50,-3.5
2023,5,10/08/23,Bengals (-3)at Cardinals (+3),46,-3
2023,5,10/08/23,Jets (+2½)at Broncos (-2½),42,2.5
2023,5,10/08/23,Chiefs (-3½)at Vikings (+3½),52,-3.5
2023,5,10/08/23,Cowboys (+3½)at 49ers (-3½),45,3.5
2023,5,10/09/23,Packers (+1½)at Raiders (-1½),44,1.5
2023,6,10/12/23,Broncos (+10½)at Chiefs (-10½),47,10.5
2023,6,10/15/23,Ravens (-5½)at Titans (+5½),42,-5.5
2023,6,10/15/23,Commanders (+1½)at Falcons (-1½),42,1.5
2023,6,10/15/23,Vikings (-3)at Bears (+3),44,-3
2023,6,10/15/23,Seahawks (+3)at Bengals (-3),46,3
2023,6,10/15/23,49ers (-9½)at Browns (+9½),36,-9.5
2023,6,10/15/23,Panthers (+14)at Dolphins (-14),47,14
2023,6,10/15/23,Colts (+4)at Jaguars (-4),44,4
2023,6,10/15/23,Saints (-2)at Texans (+2),42,-2
2023,6,10/15/23,Patriots (+3)at Raiders (-3),42,3
2023,6,10/15/23,Cardinals (+7)at Rams (-7),48,7
