homeTeam,dateTime,temperature,dewPoint,humidity,heatIndex,windSpeed,windGust,windDirection,windChill,precipitation,snowDepth,visibility,cloudCover,weatherType,conditions
ravens,09/10/2023 13:00:00,80.4,70.6,72.06,83.9,1.7,,58.0,,0.0,,9.9,85.1,,Overcast
ravens,09/24/2023 13:00:00,65.9,64.2,94.49,,4.5,,44.0,,0.02,,8.5,100.0,,"Rain, Overcast"
ravens,10/22/2023 13:00:00,62.5,36.1,37.27,,18.5,30.5,307.0,,0.0,,9.9,52.0,,Partially cloudy
ravens,11/05/2023 13:00:00,72.4,41.7,33.03,,8.9,20.8,293.0,,0.0,,9.9,21.3,,Clear
ravens,11/12/2023 13:00:00,50.8,29.7,44.03,,7.4,,359.0,,0.0,,9.9,39.0,,Partially cloudy
ravens,11/16/2023 20:15:00,48.8,40.1,71.66,,0.2,,12.0,,0.0,,9.9,0.0,,Clear
ravens,12/10/2023 13:00:00,56.9,56.2,97.5,,5.1,,130.0,,0.1,,1.0,100.0,"Mist, Fog, Light Rain","Rain, Overcast"
ravens,12/31/2023 13:00:00,49.6,28.5,43.87,,9.6,17.2,300.0,45.7,0.0,,9.9,86.8,,Overcast
ravens,01/06/2024 16:30:00,37.4,35.3,92.17,,17.1,29.9,57.0,27.9,0.2,,2.5,100.0,"Mist, Rain, Heavy Rain, Light Rain","Rain, Overcast"
bills,09/17/2023 13:00:00,70.2,52.8,54.15,,5.3,,266.0,,0.0,,9.9,65.4,,Partially cloudy
bills,10/01/2023 13:00:00,76.0,61.7,61.45,,7.2,,249.0,,0.0,,9.9,36.8,,Partially cloudy
bills,10/08/2023 09:30:00,76.1,53.6,45.54,,8.6,12.2,246.0,,0.0,,12.9,0.0,,Clear
bills,10/15/2023 20:15:00,47.5,43.0,84.48,,7.7,,327.0,43.8,0.0,,9.3,100.0,Mist,Overcast
bills,10/26/2023 20:15:00,67.1,52.1,58.57,,11.2,,210.0,,0.0,,9.9,76.2,,Overcast
bills,11/13/2023 20:15:00,48.4,32.6,54.28,,13.8,28.3,304.0,42.9,0.0,,9.9,98.9,,Overcast
bills,11/19/2023 16:25:00,37.9,27.2,64.97,,8.1,,351.0,32.0,0.0,,9.9,24.7,,Clear
bills,12/17/2023 16:25:00,47.5,44.7,89.95,,5.9,28.1,179.0,44.8,0.05,,8.0,100.0,"Mist, Light Rain","Rain, Overcast"
bills,12/31/2023 13:00:00,35.5,31.2,84.1,,1.8,,3.0,,0.0,,7.2,100.0,"Mist, Light Rain",Overcast
