homeTeam,dateTime,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Snow Depth,Visibility,Cloud Cover,Weather Type,Conditions
ravens,09/10/2023 13:00:00,79.4,71.2,76.16,,2.5,,0.0,,0.0,,9.9,88.8,,Overcast
ravens,09/24/2023 13:00:00,66.2,64.2,93.54,,3.9,,88.0,,0.01,,6.3,100.0,,"Rain, Overcast"
ravens,10/22/2023 13:00:00,60.3,37.4,42.57,,14.9,30.6,312.0,,0.0,,9.9,88.8,,Overcast
ravens,11/05/2023 13:00:00,70.5,42.1,35.73,,8.1,,253.0,,0.0,,9.9,21.3,,Clear
ravens,11/12/2023 13:00:00,46.9,29.1,49.76,,5.1,,358.0,44.5,0.0,,9.9,69.4,,Partially cloudy
ravens,11/16/2023 20:15:00,47.0,37.7,69.83,,0.0,,0.0,,0.0,,9.9,0.0,,Clear
ravens,12/10/2023 13:00:00,56.9,55.4,95.05,,5.8,,129.0,,0.04,,0.5,100.0,"Fog, Light Rain","Rain, Overcast"
ravens,12/31/2023 13:00:00,47.6,27.3,44.91,,9.1,,319.0,43.4,0.0,,9.9,85.8,,Overcast
ravens,01/06/2024 16:30:00,37.4,35.3,92.03,,15.5,27.7,51.0,28.4,0.17,,2.5,100.0,"Mist, Rain, Heavy Rain, Light Rain","Rain, Overcast"
bills,09/17/2023 13:00:00,70.2,52.8,54.15,,5.3,,266.0,,0.0,,9.9,65.4,,Partially cloudy
bills,10/01/2023 13:00:00,73.8,60.2,62.45,,6.0,,272.0,,0.0,,9.9,20.1,,Clear
bills,10/08/2023 09:30:00,76.1,53.6,45.54,0.0,8.6,12.2,246.0,0.0,0.0,0.0,12.9,0.0,0.0,Clear
bills,10/15/2023 20:15:00,47.6,42.9,83.48,,7.5,,327.0,44.1,0.0,,9.9,91.9,,Overcast
bills,10/26/2023 20:15:00,64.3,53.7,68.41,,8.3,,211.0,,0.0,,9.9,73.5,,Partially cloudy
bills,11/13/2023 20:15:00,48.5,35.3,60.14,,8.6,29.3,260.0,44.7,0.0,,9.9,95.1,,Overcast
bills,11/19/2023 16:25:00,40.7,27.3,58.4,,9.2,,323.0,34.9,0.0,,9.9,43.7,,Partially cloudy
bills,12/17/2023 16:25:00,47.5,45.4,92.34,,5.4,30.0,170.0,45.1,0.09,,3.9,100.0,"Mist, Rain, Heavy Rain, Light Rain","Rain, Overcast"
bills,12/31/2023 13:00:00,35.5,30.2,80.74,,1.7,,359.0,,0.0,,9.9,100.0,Light Snow,Overcast
panthers,09/18/2023 19:15:00,70.8,54.7,56.82,,0.0,,0.0,,0.0,,9.9,22.2,Light Rain,Clear
panthers,10/01/2023 13:00:00,78.9,57.9,48.55,,7.2,,58.0,,0.0,,9.9,51.9,,Partially cloudy
panthers,10/29/2023 13:00:00,79.9,57.0,45.65,,13.2,20.8,249.0,,0.0,,9.9,22.2,,Clear
panthers,11/05/2023 16:05:00,75.6,38.2,25.89,,3.3,,315.0,,0.0,,9.9,0.0,,Clear
panthers,11/19/2023 13:00:00,57.0,27.3,31.78,,4.8,,97.0,,0.0,,9.9,0.0,,Clear
panthers,12/17/2023 13:00:00,46.9,44.3,90.56,,10.4,17.2,20.0,42.1,0.12,,3.2,100.0,"Mist, Light Rain","Rain, Overcast"
